,name,rating,tags
1846/A,Rudolph and Cut the Rope ,800,"implementation,math"
1829/A,Love Story,800,"implementation,strings"
1836/A,Destroyer,800,"implementation,sortings"
1841/A,Game with Board,800,"constructive algorithms,games"
1739/B,Array Recovery,1100,"constructive algorithms,greedy,math"
1717/A,Madoka and Strange Thoughts,800,"math,number theory"
405/A,Gravity Flip,900,"greedy,implementation,sortings"
133/A,HQ9+,900,implementation
160/A,Twins,900,"greedy,sortings"
318/A,Even Odds,900,math
1538/B,Friends and Candies,800,"greedy,math"
1749/B,Death's Blessing,900,greedy
1743/C,Save the Magazines,1100,"constructive algorithms,dp,greedy"
1744/C,Traffic Light,1000,"binary search,implementation,two pointers"
1746/C,Permutation Operations,1300,"constructive algorithms,greedy,implementation,math"
1742/E,Scuza,1200,"binary search,greedy,math"
1742/D,Coprime,1100,"brute force,greedy,number theory"
